Metric     , Fine-tuned, Baseline, Improvement, Improvement %
recall@1   ,     0.3048,   0.1624,      0.1425,         87.72
recall@3   ,     1.0   ,   1.0   ,      0.0   ,          0.0
precision@1,     0.3048,   0.1624,      0.1425,         87.72
precision@3,     0.3333,   0.3333,      0.0   ,          0.0
hit_rate@1 ,     0.3048,   0.1624,      0.1425,         87.72
hit_rate@3 ,     1.0   ,   1.0   ,      0.0   ,          0.0
mrr        ,     0.6078,   0.5176,      0.0902,         17.43
ndcg@10    ,     0.7084,   0.6409,      0.0675,         10.53
