Metric     , all-MiniLM-L6-v2   , bge-small-en       , e5-base           , gte-base
hit_rate@1 , 0.22792022792022792, 0.20512820512820512, 0.2962962962962963, 0.301994301994302
hit_rate@3 , 1.0                , 1.0                , 1.0               , 1.0
mrr        , 0.5612535612535613 , 0.5512820512820513 , 0.6073124406457739, 0.6058879392212726
ndcg@10    , 0.6736431925112057 , 0.6663503927655818 , 0.7082042459401843, 0.7069500371387996
precision@1, 0.22792022792022792, 0.20512820512820512, 0.2962962962962963, 0.301994301994302
precision@3, 0.3333333333333333 , 0.3333333333333333 , 0.3333333333333333, 0.3333333333333333
recall@1   , 0.22792022792022792, 0.20512820512820512, 0.2962962962962963, 0.301994301994302
recall@3   , 1.0                , 1.0                , 1.0               , 1.0
